Agents,,,,,,,,,
Latitude,Longitude,What3Words,Pluscodes,Admin 1,Admin 2,Area Type,Bank,Place,People within 20m
5.615131631,-0.183506012,reporter.chariots.glorious,6CQXJR88+3H,Greater Accra,Accra,Apartment / Hotel,First Atlantic Bank,"Airport Residential Area, suburb",9474
6.093616691,-0.25800705,cleanser.cycled.unimpeded,6CRX3PVR+CQ,Eastern,New Juaben,Dense Self-Organised (high),Multi Credit Microfinance Ltd,"Koforidua, city",1750
5.689953709,-0.557727814,enclosing.twins.claim,6CQXMCQR+XW,Central,Awutu/Efutu/Senya,Rural,Rural Bank,"Bawjiase, town",12055
5.81326925,0.163421631,kook.commenters.embarked,6FQ2R577+89,Greater Accra,Dangbe West,Hinterland,Damgbe Rural Bank,"Dawhenya, village",93
5.849216988,-0.649867058,guidebook.doors.swooning,6CQXR9X2+M3,Eastern,West Akim,Suburb,"Ghana Commercial Bank (GCB), Asamankese","Asamankese, town",405
5.695419782,-0.310707092,emulated.windmills.handwriting,6CQXMMWQ+5P,Greater Accra,Ga West,Suburb,Ga Rural Bank,"Amasaman, suburb",314
5.646223257,-0.004291534,dorm.windy.croutons,6CQXJXWW+F7,Greater Accra,Tema,Dense Self-Organised (low),Zenith Bank,"Community 1, suburb",34170
5.685341669,-0.5560112,eyepieces.switch.overjoyed,6CQXMCPV+4H,Central,Awutu/Efutu/Senya,Rural,Rural Bank,"Bawjiase, town",16641
5.682779409,-0.5560112,weeps.highlighted.something,6CQXMCMV+4H,Central,Awutu/Efutu/Senya,Dense Self-Organised (low),Rural Bank,"Bawjiase, town",16925
5.883625605,-0.078620911,divisional.mandarins.rockier,6CQXVWMC+FH,Greater Accra,Dangbe West,Rural,Rural Bank,"Dodowa, town",1241
5.655447925,-0.278434753,assembles.geology.yappy,6CQXMP4C+5J,Greater Accra,Ga West,Suburb,GN Bank,"Sowutuom, suburb",9221
5.546813928,-0.212860107,headlines.cabbies.copycat,6CQXGQWP+PV,Greater Accra,Accra,Dense Self-Organised (high),Energybank accra,"Ussher Town, suburb",98547
5.662622565,-0.382976532,motorboat.derives.regroups,6CQXMJ78+2R,Greater Accra,Ga West,Rural,Rural bank,"Adjen Kotoku, town",1637
5.800631494,-0.049953461,wielding.turnstile.send,6CQXRX22+72,Greater Accra,Tema,Hinterland,Oyibi Area Rural Bank,"Appolonia, hamlet",47
5.708743117,-0.301651955,comet.tightrope.loosens,6CQXPM5X+F8,Greater Accra,Ga West,Dense Self-Organised (low),Ga Rural Bank,"Amasaman, suburb",6673
6.0989081,-0.239467621,emotionless.solstice.kiosk,6CRX3QX6+H6,Eastern,New Juaben,Hinterland,Talent Microfinance Ltd,"Koforidua, city",2714
5.69337001,-0.127973557,wealth.prices.fortress,6CQXMVVC+8R,Greater Accra,Tema,Suburb,GCB Bank,"Ashaley Botwe, suburb",2178
5.777575399,-0.563821793,recoiling.baggy.grassy,6CQXQCHP+2F,Eastern,West Akim,Rural,Rural Bank,"Asikaisu, village",1746
5.918117465,-0.994434357,calendars.truck.bombshell,6CQXW294+66,Eastern,Birim South,Rural,GN Bank,"Akim Oda, town",1476
5.356939598,-0.623474121,locator.sprinting.october,6CQX994G+QJ,Central,Awutu/Efutu/Senya,Rural,HFC Bank,"Winneba, town",7974
5.639902567,-0.127544403,badge.electric.typed,6CQXJVQC+XX,Greater Accra,Accra,Industrial / Commercial,Sahel Sahara Bank,"Adjiringanor, suburb",8746
5.450933722,-0.669136047,nail.wonderingly.trajectory,6CQXF82J+98,Central,Gomoa,Hinterland,Consolidated Bank,"Ayensuadzi, village",2077
5.731460397,0.013389587,exceeding.wearer.enlarged,6FQ2P2J7+H9,Greater Accra,Tema,Suburb,CAL Bank,"Saki, suburb",165
5.728556735,0.103340149,drastic.shallows.amazing,6FQ2P4H3+C8,Greater Accra,Dangbe West,Rural,Damgbe Rural Bank,"Prampram, town",816
5.710878238,-0.342378616,earpiece.travels.thus,6CQXPM65+92,Greater Accra,Ga West,Rural,Ga Rural Bank,"Adjen Kotoku, town",478
